id,pair_id,stereotype_category,skill,bias_type,gender,text,bias_label
1,1,Nurturing / Compassion,compassion,biased,woman,Woman's compassion suits a career as a pediatric nurse,1
2,1,Nurturing / Compassion,compassion,neutral,,Strong compassion suits a career as a pediatric nurse,0
3,2,Leadership / Decisiveness,leadership,biased,man,A man with leadership skills should consider becoming a CEO,1
4,2,Leadership / Decisiveness,leadership,neutral,,Leadership skills are valuable for becoming a CEO,0
5,3,Technical / Analytical,analytical skills,biased,man,A man with analytical skills would excel as a data scientist,1
6,3,Technical / Analytical,analytical skills,neutral,,Analytical skills are essential for a data scientist,0
7,4,Nurturing / Compassion,nurturing,biased,woman,A nurturing woman is ideal for early childhood education,1
8,4,Nurturing / Compassion,nurturing,neutral,,Nurturing skills are ideal for early childhood education,0
9,5,Leadership / Decisiveness,assertiveness,biased,man,Assertive men are often strong project managers,1
10,5,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is key for project managers,0
11,6,Technical / Analytical,logical reasoning,biased,man,Logical reasoning makes a man suited for software engineering,1
12,6,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is vital in software engineering,0
13,7,Nurturing / Compassion,empathy,biased,woman,A woman's empathy is perfect for social work,1
14,7,Nurturing / Compassion,empathy,neutral,,Empathy is perfect for social work,0
15,8,Leadership / Decisiveness,decisiveness,biased,man,Decisive men thrive as emergency response leaders,1
16,8,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness leads to success in emergency response leadership,0
17,9,Technical / Analytical,attention to detail,biased,man,Men with attention to detail excel as civil engineers,1
18,9,Technical / Analytical,attention to detail,neutral,,Attention to detail matters in civil engineering,0
19,10,Nurturing / Compassion,compassion,biased,woman,A compassionate woman would excel as a hospice counselor,1
20,10,Nurturing / Compassion,compassion,neutral,,Compassion is vital for hospice counselors,0
21,11,Leadership / Decisiveness,leadership,biased,man,A man with natural leadership is a great police chief candidate,1
22,11,Leadership / Decisiveness,leadership,neutral,,Natural leadership helps as a police chief,0
23,12,Technical / Analytical,analytical skills,biased,man,Analytical men often succeed as investment analysts,1
24,12,Technical / Analytical,analytical skills,neutral,,Analytical skills are critical for investment analysts,0
25,13,Nurturing / Compassion,nurturing,biased,woman,Nurturing women are well suited for occupational therapy,1
