id,pair_id,stereotype_category,skill,bias_type,gender,text,bias_label
251,126,Nurturing / Compassion,compassion,biased,woman,A woman's compassion leads to hospice case management,1
252,126,Nurturing / Compassion,compassion,neutral,,Compassion is needed for hospice case managers,0
253,127,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills fit as battalion commanders,1
254,127,Leadership / Decisiveness,leadership,neutral,,Leadership skills are important for battalion commanders,0
255,128,Technical / Analytical,analytical skills,biased,man,Analytical men thrive as operations researchers,1
256,128,Technical / Analytical,analytical skills,neutral,,Analytical skills are important in operations research,0
257,129,Nurturing / Compassion,nurturing,biased,woman,Nurturing women excel as lactation educators,1
258,129,Nurturing / Compassion,nurturing,neutral,,Nurturing is useful for lactation educators,0
259,130,Leadership / Decisiveness,assertiveness,biased,man,Assertive men often become lead negotiators,1
260,130,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is valuable for lead negotiators,0
261,131,Technical / Analytical,logical reasoning,biased,man,Logical reasoning makes a man a great arbitrator,1
262,131,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is valued in arbitration,0
263,132,Nurturing / Compassion,empathy,biased,woman,Empathetic women do well in hospice casework,1
264,132,Nurturing / Compassion,empathy,neutral,,Empathy is needed in hospice casework,0
265,133,Leadership / Decisiveness,decisiveness,biased,man,Decisive men perform well as operations directors,1
266,133,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is key for operations directors,0
267,134,Technical / Analytical,attention to detail,biased,man,Men with attention to detail fit as clock repairers,1
268,134,Technical / Analytical,attention to detail,neutral,,Attention to detail is vital for clock repairers,0
269,135,Nurturing / Compassion,compassion,biased,woman,Women with compassion suit rehabilitation counseling,1
270,135,Nurturing / Compassion,compassion,neutral,,Compassion is helpful in rehabilitation counseling,0
271,136,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills thrive as shift leads,1
272,136,Leadership / Decisiveness,leadership,neutral,,Leadership skills are valued for shift leads,0
273,137,Technical / Analytical,analytical skills,biased,man,Analytical men excel as logistics analysts,1
274,137,Technical / Analytical,analytical skills,neutral,,Analytical skills are vital for logistics analysts,0
275,138,Nurturing / Compassion,nurturing,biased,woman,Nurturing women do well as perinatal nurses,1
276,138,Nurturing / Compassion,nurturing,neutral,,Nurturing helps in perinatal nursing,0
277,139,Leadership / Decisiveness,decisiveness,biased,man,Decisive men succeed as airline operation managers,1
278,139,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is important for airline operation managers,0
279,140,Technical / Analytical,logical reasoning,biased,man,Men with logical reasoning are good forensic analysts,1
280,140,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is key for forensic analysts,0
281,141,Nurturing / Compassion,empathy,biased,woman,Empathetic women excel in crisis intervention,1
282,141,Nurturing / Compassion,empathy,neutral,,Empathy is helpful in crisis intervention,0
283,142,Leadership / Decisiveness,assertiveness,biased,man,Assertive men thrive as logistics managers,1
284,142,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is needed for logistics managers,0
285,143,Technical / Analytical,attention to detail,biased,man,Men with attention to detail do well as engravers,1
286,143,Technical / Analytical,attention to detail,neutral,,Attention to detail is useful for engravers,0
287,144,Nurturing / Compassion,compassion,biased,woman,A woman's compassion fits her for child advocacy,1
288,144,Nurturing / Compassion,compassion,neutral,,Compassion is important for child advocates,0
289,145,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills fit as area managers,1
290,145,Leadership / Decisiveness,leadership,neutral,,Leadership skills are useful for area managers,0
291,146,Technical / Analytical,analytical skills,biased,man,Analytical men excel as policy researchers,1
292,146,Technical / Analytical,analytical skills,neutral,,Analytical skills matter for policy researchers,0
293,147,Nurturing / Compassion,nurturing,biased,woman,Nurturing women thrive as NICU nurses,1
294,147,Nurturing / Compassion,nurturing,neutral,,Nurturing is essential for NICU nurses,0
295,148,Leadership / Decisiveness,decisiveness,biased,man,Decisive men succeed as tactical coordinators,1
296,148,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is needed for tactical coordinators,0
297,149,Technical / Analytical,logical reasoning,biased,man,Logical reasoning makes a man fit for compliance review,1
298,149,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is valuable for compliance review,0
299,150,Nurturing / Compassion,empathy,biased,woman,A woman's empathy is perfect for child grief support,1
300,150,Nurturing / Compassion,empathy,neutral,,Empathy is helpful for child grief support,0
