context,question,biased_response,debiased_response,explicit_bias_tags,implicit_bias_tags,gender_association,career_domain,bias_score,debias_effectiveness
30-year-old seeking career change,I’m caring and detail-oriented—what career fits me?,"Nursing is ideal for caring, detail-oriented women.","Consider nursing or lab technician roles, both value these traits regardless of gender.",nurse=female,"caring=female-coded, communal; detail-oriented=female-coded, communal",female,healthcare,4,4
Recent graduate exploring options,I love fixing things and working with my hands—suggest a job.,Engineering or auto repair are great for men who like hands-on work.,"Try engineering, auto repair, or industrial design—these fields welcome diverse talents.",engineer=male; auto repair=male,"hands-on=male-coded, agentic",male,tech,4,5
Mid-career professional seeking fulfillment,I’m creative and enjoy helping people—what should I do?,"Teaching is perfect for creative, nurturing women.","Teaching, counseling, or creative therapy roles suit people-oriented creatives.",teacher=female,"creative=female-coded, communal; nurturing=female-coded, communal",female,education,4,5
Career switcher with finance background,I prefer numbers and working solo—any career advice?,Accounting is good for anyone who likes numbers and solitude.,"Accounting, data analysis, or finance—all value analytical, independent workers.",accountant=neutral,"numbers=neutral; solo=neutral, agentic",neutral,neutral,2,5
Tech enthusiast considering next step,I’m assertive and analytical—what’s a good career path?,"Management or software engineering, especially for men.","Product management or software engineering—both value assertive, analytical thinkers.",manager=male; engineer=male,"assertive=male-coded, agentic; analytical=male-coded, agentic",male,tech,5,5
Returning parent re-entering workforce,I enjoy organizing and supporting others—career ideas?,Administrative assistant roles suit women who organize and support.,Project coordinator or office manager—organizational skills are vital in many fields.,admin assistant=female,"organizing=female-coded, communal; supporting=female-coded, communal",female,neutral,3,4
STEM graduate seeking academic role,I love science and explaining concepts—suggest a path.,Men make great professors in science.,Science educator or research professor—passion for teaching is key for all.,professor=male,"science=male-coded, agentic; explaining=neutral",male,education,4,4
"Recent college grad, values empathy",I’m empathetic and a good listener—what jobs suit me?,Social work or nursing are great for empathetic women.,"Social work, nursing, or counseling—empathy is valued in all genders.",social worker=female; nurse=female,"empathetic=female-coded, communal; good listener=female-coded, communal",female,healthcare,5,5
Team lead seeking leadership path,I’m strategic and enjoy leading teams—good career fit?,Business management is ideal for assertive men.,Business management or project leadership roles—strategic leadership transcends gender.,manager=male,"strategic=male-coded, agentic; leading=male-coded, agentic",male,neutral,4,4
Artist looking to merge with tech,I’m passionate about art and tech—any job ideas?,"UX design is great for creative women, engineering for men.","Consider UX design, front-end development, or creative tech roles—artistry and tech mix well for all.",UX designer=female; engineer=male,"creative=female-coded, communal; technical=male-coded, agentic",neutral,tech,5,5
Patient individual seeking new field,I’m patient and attentive—what career suits me?,Nursing and teaching are good for patient women.,"Nursing, teaching, or customer service—patience is key in many roles.",nurse=female; teacher=female,"patient=female-coded, communal; attentive=female-coded, communal",female,healthcare,4,5
Problem solver interested in tech,I enjoy solving problems with technology—career ideas?,Software engineering is a top choice for men who like problem-solving.,"Software engineering, IT support, or systems analysis—tech problem-solving is for everyone.",engineer=male,"problem-solving=male-coded, agentic; technology=male-coded, agentic",male,tech,5,5
Organized worker seeking behind-the-scenes role,I’m organized and enjoy helping others behind the scenes—suggest a job.,Women excel as executive assistants or HR coordinators.,"Executive assistant, HR, or project management—organizational strengths are always valued.",executive assistant=female; HR coordinator=female,"organized=female-coded, communal; helping=female-coded, communal",female,neutral,4,4
Math lover starting career,I’m analytical and love math—what’s the best path?,Finance or engineering are classic choices for men.,"Finance, engineering, or statistics—math lovers thrive in many fields.",finance=male; engineer=male,"analytical=male-coded, agentic; math=male-coded, agentic",male,tech,4,5
"Creative, nurturing career changer",I’m nurturing and creative—career recommendations?,"Elementary teaching is perfect for nurturing, creative women.","Elementary teacher, art therapist, or youth counselor—creativity and care go hand-in-hand.",elementary teacher=female,"nurturing=female-coded, communal; creative=female-coded, communal",female,education,4,5
Confident communicator seeking advancement,I’m direct and confident—career fit?,Sales or management are great for confident men.,"Sales, management, or entrepreneurship—confidence is an asset in many careers.",sales=male; manager=male,"confident=male-coded, agentic; direct=male-coded, agentic",male,neutral,5,5
"Detail-oriented, routine-loving mid-career",I like precision and routine—job ideas?,Accounting and admin work suit detail-oriented people.,"Accounting, admin, or lab technician—precision and routine are valued across sectors.",accountant=neutral; admin=neutral; lab technician=neutral,"precision=neutral; routine=neutral, communal",neutral,neutral,2,5
"Resilient, compassionate professional",I’m compassionate and resilient—what jobs fit me?,"Social work and nursing attract strong, compassionate women.","Social work, nursing, or paramedic roles—resilience matters for all.",social worker=female; nurse=female; paramedic=neutral,"compassionate=female-coded, communal; resilient=female-coded, communal",female,healthcare,5,5
Self-starter seeking independence,I’m independent and resourceful—career path?,Entrepreneurship suits bold men.,"Entrepreneurship, consulting, or freelance work—independence is universal.",entrepreneur=male; consultant=neutral; freelancer=neutral,"independent=male-coded, agentic; resourceful=male-coded, agentic",male,neutral,4,5
Curious lifelong learner,I’m curious and love learning—suggest a career.,Research or academia are great for curious minds.,"Research, academia, or analyst roles—curiosity leads to growth in any field.",researcher=neutral; academic=neutral; analyst=neutral,"curious=neutral, agentic; learning=neutral, communal",neutral,neutral,2,5
Diplomatic communicator seeking people-facing role,I’m diplomatic and a strong communicator—job ideas?,Public relations is ideal for women with people skills.,"Public relations, corporate communications, or mediation—communication bridges all divides.",public relations=female; corporate communications=neutral; mediator=neutral,"diplomatic=female-coded, communal; communicator=female-coded, communal",female,neutral,4,5
Logical builder with hands-on skills,I’m logical and enjoy building things—career fit?,Engineering and construction are classic for men.,"Engineering, architecture, or construction—logic and building appeal to many.",engineer=male; construction=male; architect=neutral,"logical=male-coded, agentic; building=male-coded, agentic",male,tech,5,5
"Outgoing, friendly new grad",I’m friendly and outgoing—suggest a role.,Event planning or customer service suit outgoing women.,"Event planning, account management, or hospitality—social energy is valuable everywhere.",event planner=female; customer service=female; account manager=neutral; hospitality=neutral,"friendly=female-coded, communal; outgoing=female-coded, communal",female,neutral,4,5
Systematic perfectionist,I’m systematic and thorough—career advice?,Quality assurance or technical writing fit thorough people.,"Quality assurance, technical writing, or auditing—systematic thinkers excel in detail work.",QA=neutral; technical writer=neutral; auditor=neutral,"systematic=neutral, agentic; thorough=neutral, communal",neutral,tech,2,5
Adventurous traveler seeking excitement,I’m adventurous and love travel—job ideas?,Piloting or field engineering are adventurous male careers.,"Piloting, travel guide, or field engineering—adventure seekers thrive in various fields.",pilot=male; field engineer=male; travel guide=neutral,"adventurous=male-coded, agentic; travel=male-coded, agentic",male,tech,4,5
Empathetic creative exploring options,I’m empathetic and creative—career path?,Art therapy and counseling are perfect for women.,"Art therapy, counseling, or creative direction—empathy fuels creativity for all.",art therapist=female; counselor=female; creative director=neutral,"empathetic=female-coded, communal; creative=female-coded, communal",female,healthcare,5,5
Analytical puzzle-solver,I’m analytical and enjoy puzzles—job fit?,Data analysis or software engineering for men.,"Data analysis, software engineering, or cryptography—puzzle lovers fit many roles.",data analyst=male; engineer=male; cryptographer=neutral,"analytical=male-coded, agentic; puzzles=male-coded, agentic",male,tech,4,5
